Time,LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Des Heat Load [W],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LIVING_UNIT1::Des Latent Heat Load [W],LIVING_UNIT1::Des Latent Cool Load [W],LIVING_UNIT1::Des Latent Heat Mass Flow [kg/s],LIVING_UNIT1::Des Latent Cool Mass Flow [kg/s],LIVING_UNIT1::Des Heat Load No DOAS [W],LIVING_UNIT1::Des Sens Cool Load No DOAS [W],LIVING_UNIT1::Des Latent Heat Load No DOAS [W],LIVING_UNIT1::Des Latent Cool Load No DOAS [W],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Heating Zone Temperature [C],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Heating Zone Relative Humidity [%],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Cooling Zone Temperature [C],LIVING_UNIT1:BRUSSELS ANNUAL COOLING 1% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
02:45:00,0.000000E+00,1.457334E+02,0.000000E+00,1.100400E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499965E+01,5.117389E+01,2.499965E+01,5.117389E+01
03:00:00,0.000000E+00,1.102000E+02,0.000000E+00,8.320909E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499973E+01,5.181812E+01,2.499973E+01,5.181812E+01
03:15:00,0.000000E+00,7.719607E+01,0.000000E+00,5.828840E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499981E+01,5.248554E+01,2.499981E+01,5.248554E+01
03:30:00,0.000000E+00,4.685447E+01,0.000000E+00,3.537823E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499990E+01,5.317568E+01,2.499990E+01,5.317568E+01
03:45:00,0.000000E+00,2.387852E+01,0.000000E+00,1.802979E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499998E+01,5.388750E+01,2.499998E+01,5.388750E+01
04:00:00,0.000000E+00,8.730267E+00,0.000000E+00,6.591872E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.498884E+01,5.463576E+01,2.498884E+01,5.463576E+01
04:15:00,0.000000E+00,1.110296E+00,0.000000E+00,8.383350E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.496068E+01,5.542269E+01,2.496068E+01,5.542269E+01
04:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.492522E+01,5.621179E+01,2.492522E+01,5.621179E+01
04:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.488484E+01,5.699393E+01,2.488484E+01,5.699393E+01
05:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.484030E+01,5.776736E+01,2.484030E+01,5.776736E+01
05:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.479263E+01,5.852981E+01,2.479263E+01,5.852981E+01
05:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.476516E+01,5.920967E+01,2.476516E+01,5.920967E+01
05:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.476750E+01,5.976769E+01,2.476750E+01,5.976769E+01
06:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.483017E+01,6.008916E+01,2.483017E+01,6.008916E+01
06:15:00,0.000000E+00,9.799385E+01,0.000000E+00,7.405411E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.498878E+01,6.004434E+01,2.498878E+01,6.004434E+01
06:30:00,0.000000E+00,2.131597E+02,0.000000E+00,1.610216E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499827E+01,5.989561E+01,2.499827E+01,5.989561E+01
06:45:00,0.000000E+00,3.747942E+02,0.000000E+00,2.830778E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499849E+01,5.938265E+01,2.499849E+01,5.938265E+01
07:00:00,0.000000E+00,5.798564E+02,0.000000E+00,4.379285E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499844E+01,5.845927E+01,2.499844E+01,5.845927E+01
07:15:00,0.000000E+00,7.256733E+02,0.000000E+00,5.479856E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499844E+01,5.725761E+01,2.499844E+01,5.725761E+01
07:30:00,0.000000E+00,8.950212E+02,0.000000E+00,6.758639E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499856E+01,5.599094E+01,2.499856E+01,5.599094E+01
07:45:00,0.000000E+00,1.055686E+03,0.000000E+00,7.971858E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499860E+01,5.446188E+01,2.499860E+01,5.446188E+01
08:00:00,0.000000E+00,1.208593E+03,0.000000E+00,9.126450E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499876E+01,5.316645E+01,2.499876E+01,5.316645E+01
08:15:00,0.000000E+00,1.324443E+03,0.000000E+00,1.000118E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499892E+01,5.159364E+01,2.499892E+01,5.159364E+01
08:30:00,0.000000E+00,1.431272E+03,0.000000E+00,1.080776E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499907E+01,5.041653E+01,2.499907E+01,5.041653E+01
08:45:00,0.000000E+00,1.533548E+03,0.000000E+00,1.158000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499896E+01,4.952395E+01,2.499896E+01,4.952395E+01
09:00:00,0.000000E+00,1.632210E+03,0.000000E+00,1.232493E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499907E+01,4.857553E+01,2.499907E+01,4.857553E+01
09:15:00,0.000000E+00,1.745666E+03,0.000000E+00,1.318157E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499919E+01,4.719356E+01,2.499919E+01,4.719356E+01
09:30:00,0.000000E+00,1.853762E+03,0.000000E+00,1.399775E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499928E+01,4.589033E+01,2.499928E+01,4.589033E+01
09:45:00,0.000000E+00,1.953876E+03,0.000000E+00,1.475365E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499921E+01,4.514305E+01,2.499921E+01,4.514305E+01
10:00:00,0.000000E+00,2.045210E+03,0.000000E+00,1.544325E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499926E+01,4.422488E+01,2.499926E+01,4.422488E+01
10:15:00,0.000000E+00,2.140686E+03,0.000000E+00,1.616414E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499935E+01,4.339433E+01,2.499935E+01,4.339433E+01
10:30:00,0.000000E+00,2.225815E+03,0.000000E+00,1.680693E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499928E+01,4.292290E+01,2.499928E+01,4.292290E+01
10:45:00,0.000000E+00,2.299551E+03,0.000000E+00,1.736368E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499932E+01,4.239457E+01,2.499932E+01,4.239457E+01
11:00:00,0.000000E+00,2.361046E+03,0.000000E+00,1.782797E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499939E+01,4.192983E+01,2.499939E+01,4.192983E+01
11:15:00,0.000000E+00,2.408835E+03,0.000000E+00,1.818884E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499931E+01,4.166994E+01,2.499931E+01,4.166994E+01
11:30:00,0.000000E+00,2.444640E+03,0.000000E+00,1.845918E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499931E+01,4.140831E+01,2.499931E+01,4.140831E+01
11:45:00,0.000000E+00,2.468283E+03,0.000000E+00,1.863770E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499936E+01,4.118163E+01,2.499936E+01,4.118163E+01
12:00:00,0.000000E+00,2.481197E+03,0.000000E+00,1.873520E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499940E+01,4.101092E+01,2.499940E+01,4.101092E+01
12:15:00,0.000000E+00,2.486583E+03,0.000000E+00,1.877587E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499931E+01,4.091513E+01,2.499931E+01,4.091513E+01
12:30:00,0.000000E+00,2.489613E+03,0.000000E+00,1.879878E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499923E+01,4.082279E+01,2.499923E+01,4.082279E+01
12:45:00,0.000000E+00,2.496149E+03,0.000000E+00,1.884817E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499926E+01,4.074556E+01,2.499926E+01,4.074556E+01
13:00:00,0.000000E+00,2.513655E+03,0.000000E+00,1.898041E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499926E+01,4.068862E+01,2.499926E+01,4.068862E+01
13:15:00,0.000000E+00,2.548311E+03,0.000000E+00,1.924211E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499926E+01,4.064687E+01,2.499926E+01,4.064687E+01
13:30:00,0.000000E+00,2.601115E+03,0.000000E+00,1.964097E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499888E+01,4.060584E+01,2.499888E+01,4.060584E+01
13:45:00,0.000000E+00,2.671625E+03,0.000000E+00,2.017356E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499883E+01,4.054749E+01,2.499883E+01,4.054749E+01
14:00:00,0.000000E+00,2.755397E+03,0.000000E+00,2.080630E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.499882E+01,4.048533E+01,2.499882E+01,4.048533E+01
14:15:00,0.000000E+00,2.098973E+03,0.000000E+00,1.584969E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.601306E+01,3.827305E+01,2.601306E+01,3.827305E+01
